Last Name,Party,Science,Politics,Media,Other,Total
Alexander,R,0,0.154,0.076,0.77,409
Ayotte,R,0.002,0.054,0.015,0.928,1492
Barrasso,R,0.004,0.156,0.081,0.759,456
Bennet,D,0.024,0.337,0,0.639,83
Blumenthal,D,0.014,0.086,0.034,0.866,801
Blunt,R,0,0.009,0.004,0.987,6799
Boozman,R,0.006,0.064,0.013,0.917,543
Boxer,D,0.026,0.553,0.009,0.412,114
Brown,D,0.023,0.636,0,0.341,44
Burr,R,0,0.006,0.004,0.99,3358
Cantwell,D,0,0.002,0.002,0.997,579
Capito,R,0.002,0.041,0.042,0.916,935
Cardin,D,0.023,0.137,0.046,0.795,263
Carper,D,0.02,0.126,0.024,0.83,493
Casey,D,0.024,0.277,0.051,0.648,412
Coats,R,0,0.108,0.039,0.853,619
Cochran,R,0.025,0.113,0.02,0.842,488
Collins,R,0.005,0.119,0.042,0.833,929
Coons,D,0,0.035,0.004,0.961,2108
Corker,R,0.002,0.121,0.078,0.799,447
Cotton,R,0.006,0.154,0.025,0.815,356
Crapo,R,0.014,0.259,0.021,0.706,436
Cruz,R,0,0.01,0.002,0.988,7694
Daines,R,0.004,0.106,0.013,0.877,527
Donnelly,D,0.004,0.035,0.007,0.954,283
Durbin,D,0.011,0.061,0.041,0.887,1605
Enzi,R,0.002,0.233,0.035,0.73,514
Ernst,R,0,0.011,0,0.989,89
Feinstein,D,0.023,0.445,0.102,0.43,128
Fischer,R,0,0.773,0.008,0.22,132
Flake,R,0,0.038,0.014,0.947,208
Gardner,R,0.002,0.093,0.039,0.867,646
Gillibrand,D,0.031,0.165,0.021,0.783,419
Graham,R,0,0.024,0.009,0.967,2186
Grassley,R,0,0.003,0.001,0.996,14559
Hatch,R,0,0.166,0.046,0.788,151
Heinrich,D,0.04,0.36,0.04,0.56,25
Heitkamp,D,0.005,0.055,0.021,0.917,422
Heller,R,0.004,0.031,0.016,0.949,4934
Hirono,D,0.028,0.063,0.042,0.866,1185
Hoeven,R,0,0.142,0.071,0.787,409
Inhofe,R,0.003,0.05,0.024,0.923,1370
Isakson,R,0,0.168,0.077,0.755,429
Johnson,R,0,0.226,0.066,0.708,106
Kaine,D,0.039,0.376,0.059,0.527,205
King,I,0.011,0.252,0.094,0.644,449
Kirk,R,0.003,0.042,0.031,0.924,1852
Lankford,R,0.002,0.236,0.046,0.716,483
Leahy,D,0,0.263,0.053,0.684,76
Lee,R,0,0.045,0.01,0.945,2361
Manchin,D,0.01,0.183,0.061,0.739,624
Markey,D,0.104,0.114,0.114,0.668,193
McCain,R,0,0.113,0.099,0.788,335
McCaskill,D,0.008,0.06,0.046,0.886,1434
McConnell,R,0,0.019,0,0.981,266
Menendez,D,0.014,0.157,0.049,0.78,586
Merkley,D,0.011,0.282,0.08,0.626,174
Mikulski,D,0,0.486,0,0.514,35
Moran,R,0.003,0.031,0.022,0.945,2977
Murkowski,R,0.009,0.251,0.037,0.704,459
Murphy,D,0,0.128,0.016,0.856,125
Murray,D,0.01,0.056,0.03,0.904,2171
Nelson,D,0.08,0.01,0.06,0.85,100
Paul,R,0,0.165,0.09,0.745,357
Perdue,R,0,0.008,0,0.992,2868
Peters,D,0.009,0.07,0.029,0.893,345
Portman,R,0,0.014,0.02,0.967,1613
Reed,D,0,0.733,0,0.267,15
Reid,D,0.039,0.34,0.013,0.608,153
Risch,R,0.023,0.535,0,0.442,43
Roberts,R,0.003,0.096,0.043,0.858,697
Rounds,R,0,0.316,0.045,0.639,155
Rubio,R,0,0.001,0.002,0.997,2726
Sanders,I,0.008,0.033,0.045,0.914,1688
Schatz,D,0.002,0.012,0.004,0.982,1337
Scott,R,0,0.042,0.009,0.948,2784
Sessions,R,0,0.069,0.088,0.843,102
Shaheen,D,0,0.001,0.001,0.998,3317
Shelby,R,0,0.25,0.033,0.717,244
Stabenow,D,0.006,0.03,0.018,0.946,2298
Tester,D,0.007,0.134,0.027,0.833,754
Thune,R,0.003,0.141,0.052,0.804,306
Toomey,R,0.001,0.091,0.026,0.882,871
Udall,D,0,0.4,0,0.6,5
Vitter,R,0.001,0.013,0.009,0.976,6175
Warren,D,0,0.336,0.004,0.66,238
Whitehouse,D,0.026,0.037,0.015,0.921,1371
Wicker,R,0.011,0.191,0.046,0.752,282
Wyden,D,0.017,0.057,0.03,0.896,299
